samplename	publiid
Dambach_a383	48
Dambach_a384	48
Dambach_a385	48
Dambach_a386	48
Dambach_a387	48
Dambach_a388	48
Dambach_a389	48
Dambach_a39	48
Dambach_a390	48
Dambach_a391	48
Dambach_a392	48
Dambach_a393	48
Dambach_a394	48
Dambach_a395	48
Dambach_a396	48
Dambach_a397	48
Dambach_a398	48
Dambach_a399	48
Dambach_a4	48
Dambach_a40	48
Dambach_a400	48
Dambach_a401	48
Dambach_a402	48
Dambach_a403	48
Dambach_a404	48
Dambach_a405	48
Dambach_a406	48
Dambach_a407	48
Dambach_a408	48
Dambach_a409	48
Dambach_a41	48
Dambach_a410	48
Dambach_a411	48
Dambach_a412	48
Dambach_a413	48
Dambach_a414	48
Dambach_a415	48
Dambach_a416	48
Dambach_a417	48
Dambach_a418	48
Dambach_a419	48
Dambach_a42	48
Dambach_a420	48
Dambach_a421	48
Dambach_a422	48
Dambach_a423	48
Dambach_a424	48
Dambach_a425	48
Dambach_a426	48
Dambach_a427	48
Dambach_a428	48
Dambach_a429	48
Dambach_a43	48
Dambach_a430	48
Dambach_a431	48
Dambach_a432	48
Dambach_a433	48
Dambach_a434	48
Dambach_a435	48
Dambach_a436	48
Dambach_a437	48
Dambach_a438	48
Dambach_a439	48
Dambach_a44	48
Dambach_a440	48
Dambach_a441	48
Dambach_a442	48
Dambach_a443	48
Dambach_a444	48
Dambach_a445	48
Dambach_a446	48
Dambach_a447	48
Dambach_a45	48
Dambach_a46	48
Dambach_a47	48
Dambach_a48	48
Dambach_a49	48
Dambach_a5	48
Dambach_a50	48
Dambach_a51	48
Dambach_a52	48
Dambach_a53	48
Dambach_a54	48
Dambach_a55	48
Dambach_a56	48
Dambach_a57	48
Dambach_a58	48
Dambach_a59	48
Dambach_a6	48
Dambach_a60	48
Dambach_a61	48
Dambach_a62	48
Dambach_a63	48
Dambach_a64	48
Dambach_a65	48
Dambach_a66	48
Dambach_a67	48
Dambach_a68	48
Dambach_a69	48
Dambach_a7	48
Dambach_a70	48
Dambach_a71	48
Dambach_a72	48
Dambach_a73	48
Dambach_a74	48
Dambach_a75	48
Dambach_a76	48
Dambach_a77	48
Dambach_a78	48
Dambach_a79	48
Dambach_a8	48
Dambach_a80	48
Dambach_a81	48
Dambach_a82	48
Dambach_a83	48
Dambach_a84	48
Dambach_a85	48
Dambach_a86	48
Dambach_a87	48
Dambach_a88	48
Dambach_a89	48
Dambach_a9	48
Dambach_a90	48
Dambach_a91	48
Dambach_a92	48
Dambach_a93	48
Dambach_a94	48
Dambach_a95	48
Dambach_a96	48
Dambach_a97	48
Dambach_a98	48
Dambach_a99	48
Desprat_a1	49
Desprat_a10	49
Desprat_a11	49
Desprat_a12	49
Desprat_a13	49
Desprat_a14	49
Desprat_a15	49
Desprat_a16	49
Desprat_a17	49
Desprat_a18	49
Desprat_a19	49
Desprat_a2	49
Desprat_a20	49
Desprat_a21	49
Desprat_a22	49
Desprat_a23	49
Desprat_a24	49
Desprat_a25	49
Desprat_a26	49
Desprat_a27	49
Desprat_a28	49
Desprat_a29	49
Desprat_a3	49
Desprat_a4	49
Desprat_a5	49
Desprat_a6	49
Desprat_a7	49
Desprat_a8	49
Desprat_a9	49
Di_Rita_a1	47
Di_Rita_a1	711
Di_Rita_a10	50
Di_Rita_a11	50
Di_Rita_a12	51
