var_	acc_var_	original_varname	acc_varname	groupid	notes
2326		Asperula	Rubiaceae	HERB	NULL
2327		Other herbs	Indeterminable: unknown	INUN	NULL
2328		Other trees	Indeterminable: unknown	INUN	NULL
2329		Paliurus	Rhamnus-type	TRSH	NULL
2330		Compositae subf. Cichorioideae undiff.	Asteraceae subf. Cichorioideae	HERB	NULL
2331		Pteridophyta spores	Monolete fern spores	VACR	NULL
2332		Ephedra alata-type	Ephedra alata-type	TRSH	NULL
2333		Eremurus	Eremurus	HERB	NULL
2334		Salvinia/Azolla: massulae	Azolla/Salvinia	AQPT	NULL
2335		Trilete psilate	Trilete spore(s)	VACR	NULL
2336		Quercus undiff.	Quercus	TRSH	NULL
2337		Quercus coccifera-type	Quercus ilex-type	TRSH	NULL
2338		Polygonaceae undiff.	Polygonaceae	HERB	NULL
2339		Sarcopoterium	Sanguisorba minor-type	HERB	NULL
2340		Monolete spore(s) undiff.	Monolete fern spores	VACR	NULL
2341		Charcoal <50µm	Charcoal <50µm	CHAR	NULL
2342		Charcoal >50µm	Charcoal >50µm	CHAR	NULL
2343		Elodea	Elodea	AQUA	NULL
2344		cf. Larix-type	Indeterminable: unknown	INUN	NULL
2345		Indeterminable: unidentified	Indeterminable: unknown	INUN	NULL
2346		Avena/Triticum	Avena/Triticum-type	HERB	NULL
2347		Pteropsida	Monolete fern spores	VACR	NULL
2348		Poaceae <37µm	Poaceae	HERB	NULL
2349		Scutellaria	Scutellaria-type	HERB	NULL
2350		Pteropsida monolete undiff.	Monolete fern spores	VACR	NULL
2351		Solidago virgaurea-type	Aster-type	HERB	NULL
2352		Myosotis arvensis-type	Myosotis-type	HERB	NULL
2353		Polemonium caeruleum	Polemonium	HERB	NULL
2354		Charcoal <50µm concentration	Charcoal <50µm concentration	CHAR	NULL
2355		Charcoal >50µm concentration	Charcoal >50µm concentration	CHAR	NULL
2356		Rumex sanguineus-type	Rumex crispus-type	HERB	NULL
2357		Acer campestre	Acer campestre-type	TRSH	NULL
2358		Alnus fruticosa-type	Alnus viridis	TRSH	NULL
2359		Pinus pumila	Pinus cembra-type	TRSH	NULL
2360		Neorhabdocoela	Neorhabdocoela	PLAT	NULL
2361		Pinaceae: stomata	Pinaceae: stomata	VEMI	NULL
2362		Pollen per unit sediment mass (/g)	Pollen per unit sediment mass (/g)	NOPO	NULL
2363		Selaginella rupestris	Selaginella rupestris	VACR	NULL
2364		Carpinus betulus-type	Carpinus betulus	TRSH	NULL
2365		Daucus-type	Apiaceae	HERB	NULL
2366		Chaerophyllum-type	Apiaceae	HERB	NULL
2367		Artemisia-type	Artemisia	HERB	NULL
2368		Convallaria-type	Convallaria-type	HERB	NULL
2369		Lamiaceae undiff.	Lamiaceae	HERB	NULL
2370		Mougeotia laetivirens	Mougeotia laetivirens	ALGA	NULL
2371		Potamogeton subg. Coleogeton	Potamogeton pectinatus-type	AQUA	NULL
2372		Type 351	Type 351	FUNG	NULL
2373		Type 55A2	Type 55A2	FUNG	NULL
2374		Type 99	Type 99	FUNG	NULL
2375		Abies sibirica	Abies sibirica	TRSH	NULL
2376		Betula sect. Nanae/Fruticosae-type	Betula nana-type	DWAR	NULL
2377		Betula sect. Albae-type	Betula pubescens-type	TRSH	NULL
2378		Picea obovata	Picea abies-type	TRSH	NULL
2379		Pinus sibirica-type	Pinus cembra-type	TRSH	NULL
2380		Pinus pumila-type	Pinus cembra-type	TRSH	NULL
2381		Anemone/Pulsatilla-type	Ranunculus-type	HERB	NULL
2382		Charcoal >100µm	Charcoal >100µm	CHAR	NULL
2383		Charcoal >10µm	Charcoal >10µm	CHAR	NULL
2384		Alnus fruticosa	Alnus viridis	TRSH	NULL
2385		Betula sect. Nanae-type	Betula nana-type	DWAR	NULL
2386		Polygonum viviparum-type	Polygonum bistorta-type	HERB	NULL
2387		Encalypta	Encalypta	BRYO	NULL
2388		Redeposited pollen	Reworked pollen	PREQ	NULL
2389		Pinus subg. Strobus	Pinus cembra-type	TRSH	NULL
2390		Brassicaceae undiff.	Brassicaceae	HERB	NULL
2391		Claytonia undiff.	Claytonia	HERB	NULL
2392		Onagraceae undiff.	Onagraceae	HERB	NULL
2393		Polygonum sect. Bistorta	Polygonum bistorta-type	HERB	NULL
2394		Polygonum sect. Aconogonon	Polygonum-type (tricolporate)	HERB	NULL
2395		Scrophulariaceae undiff.	Scrophulariaceae (colporate-reticulate)	HERB	NULL
2396		Bryales undiff.	Bryophyte spores	BRYO	NULL
2397		Lycopodiaceae undiff.	Lycopodiaceae	VACR	NULL
2398		Lycopodium annotinum subsp. alpestre	Lycopodium annotinum-type	VACR	NULL
2399		Diphasiastrum alpinum	Lycopodium clavatum-type	VACR	NULL
2400		Diphasiastrum complanatum	Lycopodium clavatum-type	VACR	NULL
2401		Picea sect. Eupicea	Picea abies-type	TRSH	NULL
2402		Draba	Brassicaceae	HERB	NULL
2403		Polypodiophyta	Monolete fern spores	VACR	NULL
2404		Lycopodium annotinum subsp. annotinum	Lycopodium annotinum-type	VACR	NULL
2405		Betula sect. Nanae	Betula nana-type	DWAR	NULL
2406		Pinus subg. Haploxylon-type	Pinus cembra-type	TRSH	NULL
2407		Macrobiotus areolatus/M. richtersi-type	Macrobiotus	INVE	NULL
2408		Dryopteris fragrans	Dryopteris fragrans	VACR	NULL
2409		Hepaticae	Hepaticae	BRYO	NULL
2410		Hepaticae undiff.	Hepaticae	BRYO	NULL
2411		Polypodiophyta undiff.	Monolete fern spores	VACR	NULL
2412		Cassiope	Erica ciliaris-type	DWAR	NULL
2413		Saxifraga hieraciifolia	Saxifraga hieraciifolia	HERB	NULL
2414		Eucalyptus spike (added)	Eucalyptus spike (added)	NOPO	NULL
2415		Eucalyptus spike (counted)	Eucalyptus spike (counted)	NOPO	NULL
2416		Cardamine	Brassicaceae	HERB	NULL
2417		Arctostaphylos alpinus	Arctostaphylos alpinus	DWAR	NULL
2418		Myricaria	Myricaria germanica	TRSH	NULL
2419		Artemisia norvegica	Artemisia	HERB	NULL
2420		Silene acaulis	Silene vulgaris-type	HERB	NULL
2421		Carex-type	Carex	HELO	NULL
2422		Huperzia	Huperzia selago	VACR	NULL
2423		Claytonia	Claytonia	HERB	NULL
2424		Polemoniaceae	Polemoniaceae	HERB	NULL
2425		Pinus pinea	Pinus halepensis-type	TRSH	NULL
2426		Quercus robur	Quercus robur-type	TRSH	NULL
2427		Type 33	Type 33	UNPP	NULL
2428		Trilete spore(s) undiff.	Trilete spore(s)	VACR	NULL
2429		Type 1	Type 1	FUNG	NULL
2430		Type 27	Type 27	FUNG	NULL
2431		Type 55	Type 55	FUNG	NULL
2432		Type 72	Type 72	MICR	NULL
2433		Type 902	Type 902	INVE	NULL
2434		Type 92	Type 92	FUNG	NULL
2435		Betula sect. Betula	Betula	TRSH	NULL
2436		Rosaceae-type	Rosaceae	TRSH	NULL
2437		Rhamnus catharticus	Rhamnus-type	TRSH	NULL
2438		Anthemideae	Matricaria-type	HERB	NULL
2439		Betula undiff.	Betula	TRSH	NULL
2440		Herbs undiff.	Indeterminable: unknown	INUN	NULL
2441		Marker (counted)	Marker (counted)	NOPO	NULL
2442		Saxifraga tricuspidata	Saxifraga granulata-type	HERB	NULL
2443		Selaginella sibirica	Selaginella sibirica	VACR	NULL
2444		Primulaceae undiff.	Primulaceae	HERB	NULL
2445		Betula sect. Fruticosae	Betula nana-type	DWAR	NULL
2446		Ascospores undiff.	Ascospores undiff.	FUNG	NULL
2447		Type 112A/B	Type 112A/B	FUNG	NULL
2448		Type 126	Type 126	FUNG	NULL
2449		Type 28	Type 28	INVE	NULL
2450		Type 353A/B	Type 353A/B	PLAT	NULL
2451		Cannabaceae	Humulus/Cannabis	HERB	NULL
2452		Type 172	Type 172	FUNG	NULL
2453		Arcella arenaria	Arcella arenaria	RHIZ	NULL
2454		Type 8	Type 8	FUNG	NULL
2455		Ulex	Genista-type	TRSH	NULL
2456		Ranunculus aquatilis-type	Ranunculus aquatilis-type	AQUA	NULL
2457		Convolvulus arvensis	Convolvulus	HERB	NULL
2458		Rumex hydrolapathum	Rumex aquaticus-type	HERB	NULL
2459		Butomus	Butomus umbellatus	HELO	NULL
2460		Microcharcoal	Microcharcoal	CHAR	NULL
2461		Type 2	Type 2	FUNG	NULL
2462		Type 32A	Type 32A	RHIZ	NULL
2463		Type 4	Type 4	FUNG	NULL
2464		Type 360	Type 360	FUNG	NULL
2465		Type 44	Type 44	FUNG	NULL
2466		Narcissus pseudonarcissus-type	Convallaria-type	HERB	NULL
2467		Globose	Indeterminable: unknown	INUN	NULL
2468		Type 368	Type 368	FUNG	NULL
2469		Type 6	Type 6	FUNG	NULL
2470		Aquatic remains unidentified	Aquatic remains unidentified	MACR	NULL
2471		Hottonia-type	Hottonia palustris	HERB	NULL
2472		Convolvulus sepium-type	Calystegia	HERB	NULL
2473		Polygonum-type	Polygonum-type (tricolporate)	HERB	NULL
2474		Dinoflagellates	Dinoflagellates	DINO	NULL
2475		Pinus pinea/P. halepensis	Pinus halepensis-type	TRSH	NULL
2476		Tripterospora	Tripterospora	FUNG	NULL
2477		Pediastrum boryanum var. longicorne	Algae	ALGA	NULL
2478		Desmidiaceae	Desmidiaceae	ALGA	NULL
2479		Pediastrum angulosum	Pediastrum angulosum	ALGA	NULL
2480		Pediastrum boryanum var. boryanum (type 1)	Pediastrum boryanum var. boryanum (type 1)	ALGA	NULL
2481		Pediastrum boryanum var. boryanum (type 2)	Pediastrum boryanum var. boryanum (type 2)	ALGA	NULL
2482		Pediastrum orientale (type 1)	Pediastrum orientale (type 1)	ALGA	NULL
2483		Pollen undiff.	Indeterminable: unknown	INUN	NULL
2484		Lycopodium (counted) for Pediastrum	Lycopodium (counted) for Pediastrum	NOPO	NULL
2485		Sedimentation rate (mm/year)	Sedimentation rate (mm/year)	NOPO	NULL
2486		Other trees and shrubs	Indeterminable: unknown	INUN	NULL
2487		Halophytes	Indeterminable: unknown	INUN	NULL
2488		Drosera intermedia	Drosera intermedia	HELO	NULL
2489		Vaccinium oxycoccos	Vaccinium	DWAR	NULL
2490		Oenotheraceae	Onagraceae	HERB	NULL
2491		Verbena	Verbena officinalis	HERB	NULL
2492		Bryonia	Bryonia	HERB	NULL
2493		Convolvulus sepium	Calystegia	HERB	NULL
2494		Helleborus-type	Helleborus	HERB	NULL
2495		Zea mays-type	Zea mays	HERB	NULL
2496		Scorzonera-type	Asteraceae subf. Cichorioideae	HERB	NULL
2497		Pseudotsuga douglasii	Larix/Pseudotsuga	TRSH	NULL
2498		Littorella	Littorella uniflora	AQUA	NULL
2499		Liquidambar	Liquidambar	TRSH	NULL
2500		Sambucus ebulus	Sambucus ebulus	HERB	NULL
2501		Alisma	Alisma-type	HELO	NULL
2502		Typha	Typha/Sparganium	AQUA	NULL
2503		Hydrocotyle vulgaris	Hydrocotyle	HERB	NULL
2504		Cupressaceae	Juniperus-type	TRSH	NULL
2505		Urtica undiff.	Urtica	HERB	NULL
2506		Corylus-type	Corylus/Myrica	TRSH	NULL
2507		Indeterminable: hidden	Indeterminable: hidden	INUN	NULL
2508		Polypodiales	Monolete fern spores	VACR	NULL
2509		Angelica-type	Apiaceae	HERB	NULL
2510		Sambucus-type	Sambucus	TRSH	NULL
2511		Gramineae >42µm	Cerealia-type	HERB	NULL
2512		Macrocharcoal	Macrocharcoal	CHAR	NULL
2513		Erica cinerea/E. tetralix	Erica	DWAR	NULL
2514		Serratula	Saussurea-type	HERB	NULL
2515		Nymphaea candida	Nymphaea candida	AQUA	NULL
2516		Ranunculus subg. Batrachium	Ranunculus aquatilis-type	AQUA	NULL
2517		Sparganium/Typha angustifolia	Sparganium-type	AQUA	NULL
2518		Gyratrix hermaphroditus	Gyratrix hermaphroditus	PLAT	NULL
2519		Aquatics	Indeterminable: unknown	INUN	NULL
2520		Daphne gnidium-type	Daphne	DWAR	NULL
2521		Pinus halepensis/P. pinea-type	Pinus halepensis-type	TRSH	NULL
2522		Paeonia	Paeonia	HERB	NULL
2523		Hymenophyllum	Hymenophyllum	VACR	NULL
2524		Carduaceae	Asteraceae subf. Carduoideae	HERB	NULL
2525		Cymatiosphaera globulosa	Cymatiosphaera globulosa	ACRI	NULL
2526		Dryopteris/Thelypteris	Dryopteris-type	VACR	NULL
2527		Lingulodinium machaerophorum	Lingulodinium machaerophorum	DINO	NULL
2528		Lingulodinium machaerophorum var. clavatum	Lingulodinium machaerophorum var. clavatum	DINO	NULL
2529		Operculodinium centrocarpum	Operculodinium centrocarpum	DINO	NULL
2530		Peridinium ponticum	Peridinium ponticum	DINO	NULL
2531		Spiniferites belerius	Spiniferites belerius	DINO	NULL
2532		Spiniferites bentorii	Spiniferites bentorii	DINO	NULL
2533		Spiniferites mirabilis	Spiniferites mirabilis	DINO	NULL
2534		Spiniferites ramosus	Spiniferites ramosus	DINO	NULL
2535		Type 150	Type 150	UNPP	NULL
2536		Micrhystridium ariakense	Micrhystridium ariakense	DINO	NULL
2537		Larix decidua-type	Larix/Pseudotsuga	TRSH	NULL
2538		Urtica/Parietaria	Urticaceae	HERB	NULL
2539		Diphasiastrum	Lycopodium clavatum-type	VACR	NULL
2540		Microspheres (counted)	Microspheres (counted)	NOPO	NULL
2541		Microspheres suspension (added)	Microspheres suspension (added)	NOPO	NULL
2542		Polygala-type	Polygala	HERB	NULL
2543		Leptosporangiatae	Monolete fern spores	VACR	NULL
2544		Sanicula	Astrantia-type	HERB	NULL
2545		Crataegus-type	Prunus-type	TRSH	NULL
2546		Centaurea-type	Centaurea	HERB	NULL
2547		Taraxacum	Crepis-type	HERB	NULL
2548		Sphaerostephanos	Sphaerostephanos	VACR	NULL
2549		Menyanthaceae	Menyanthaceae	HELO	NULL
2550		Deciduous tree: seed	Deciduous tree: seed	MACR	NULL
2551		Typha angustata	Sparganium-type	AQUA	NULL
2552		Fabaceae subf. Faboideae	Fabaceae	HERB	NULL
2553		Type 10	Type 10	FUNG	NULL
2554		Tsuga heterophylla	Tsuga	TRSH	NULL
2555		Conopodium-type	Apiaceae	HERB	NULL
2556		Ilex-type	Ilex	TRSH	NULL
2557		Pterocarya fraxinifolia	Pterocarya	TRSH	NULL
2558		Exotics (counted)	Exotics (counted)	NOPO	NULL
2559		Number of exotics per tablet	Number of exotics per tablet	NOPO	NULL
2560		Tablets (added)	Tablets (added)	NOPO	NULL
2561		Volume of sample (mm3)	Volume of sample (mm3)	NOPO	NULL
2562		Poaceae annulus >10µm	Cerealia-type	HERB	NULL
2563		Botrychium lunaria	Botrychium lunaria-type	VACR	NULL
2564		Bryophytes	Bryophyte spores	BRYO	NULL
2565		Lycopodiella inundata	Lycopodiella inundata	VACR	NULL
2566		Rubus undiff.	Rubus	TRSH	NULL
2567		Apium-type	Apiaceae	HERB	NULL
2568		Poaceae annulus 8-10µm	Cerealia-type	HERB	NULL
2569		Caltha palustris-type	Caltha-type	HELO	NULL
2570		Vicia sylvatica-type	Vicia-type	HERB	NULL
2571		Quercus calliprinos	Quercus ilex-type	TRSH	NULL
2572		Emex spinosa	Emex spinosa	HERB	NULL
2573		Mercurialis annua-type	Mercurialis annua	HERB	NULL
2574		Trilete non-psilate	Trilete spore(s)	VACR	NULL
2575		Alternanthera	Chenopodiaceae/Amaranthaceae	HERB	NULL
2576		Azolla/Salvinia spore(s)	Azolla/Salvinia	AQPT	NULL
2577		Monolete non-psilate	Monolete fern spores	VACR	NULL
2578		Quercus sempervirens	Quercus ilex-type	TRSH	NULL
2579		Rubiaceae (6 colpae)	Rubiaceae	HERB	NULL
2580		Batrachium	Ranunculus aquatilis-type	AQUA	NULL
2581		Erica australis-type	Erica ciliaris-type	DWAR	NULL
2582		Erica umbellata-type	Erica umbellata	DWAR	NULL
2583		Helianthemum-type	Helianthemum	HERB	NULL
2584		Plantaginaceae undiff.	Plantaginaceae	HERB	NULL
2585		Pinus subg. Diploxylon	Pinus sylvestris-type	TRSH	NULL
2586		Erica undiff.	Erica	DWAR	NULL
2587		Echium vulgare-type	Echium	HERB	NULL
2588		Lamiaceae (hexacolpate)	Lamiaceae (hexacolpate)	HERB	NULL
2589		Sporormiella-type	Sporormiella-type	FUNG	NULL
2590		Centaurea undiff.	Centaurea	HERB	NULL
2591		Dicranum	Dicranum	BRYO	NULL
2592		Betula humilis	Betula nana-type	DWAR	NULL
2593		Luzula	Juncaceae	HERB	NULL
2594		Ranunculus aconitifolius-type	Ranunculus sceleratus-type	HERB	NULL
2595		Lycopodium (spores/tablet)	Lycopodium (spores/tablet)	NOPO	NULL
2596		Spheroidal carbonaceous particle	Spheroidal carbonaceous particle	NOPO	NULL
2597		Carduus	Carduus	HERB	NULL
2598		Colchicum-type	Colchicum-type	HERB	NULL
2599		Rumex alpinus	Rumex alpinus-type	HERB	NULL
2600		Sarothamnus scoparius	Genista-type	TRSH	NULL
2601		Valeriana tripteris-type	Valeriana montana-type	HERB	NULL
2602		Diporotheca	Diporotheca	FUNG	NULL
2603		Gymnocarpium	Gymnocarpium dryopteris	VACR	NULL
2604		Plantago montana-type	Plantago atrata-type	HERB	NULL
2605		Pollen, cf. upland herbs	Indeterminable: unknown	INUN	NULL
2606		Bartsia-type	Rhinanthus-type	HERB	NULL
2607		Hedysarum hedysaroides	Hedysarum	HERB	NULL
2608		Trachycarpus fortunei	Trachycarpus	TRSH	NULL
2609		Asteraceae subf. Cichorioideae	Asteraceae subf. Cichorioideae	HERB	NULL
2610		Ornithopus	Ornithopus	HERB	NULL
2611		Paronychia-type	Paronychia	HERB	NULL
2612		Smyrnium-type	Pleurospermum-type	HERB	NULL
2613		Reseda-type	Resedaceae	HERB	NULL
2614		Saxifraga tridactylitis-type	Saxifraga granulata-type	HERB	NULL
2615		Urtica membranacea-type	Urtica membranacea-type	HERB	NULL
2616		Lycopodium (counted) for charcoal	Lycopodium (counted) for charcoal	NOPO	NULL
2617		Chamaerops humilis	Chamaerops humilis	TRSH	NULL
2618		Gramineae undiff.	Poaceae	HERB	NULL
2619		Filicopsida undiff.	Monolete fern spores	VACR	NULL
2620		Lycopodium alpinum	Lycopodium clavatum-type	VACR	NULL
2621		Comandra elegans	Comandra elegans	HERB	NULL
2622		Larix-type	Larix/Pseudotsuga	TRSH	NULL
2623		Euphorbia-type	Euphorbia	HERB	NULL
2624		Ditrema	Amphitrema	RHIZ	NULL
2625		Callidina	Callidina angusticollis	ROTI	NULL
2626		Eryngium campestre-type	Eryngium	HERB	NULL
2627		Concentration charcoal	Concentration charcoal	CHAR	NULL
2628		Ligustrum vulgare-type	Ligustrum	TRSH	NULL
2629		Lonicera periclymenum-type	Lonicera periclymenum-type	TRSH	NULL
2630		Pedicularis sylvatica-type	Pedicularis palustris-type	HERB	NULL
2631		Phoenix	Phoenix	TRSH	NULL
2632		Quercus calliprinos-type	Quercus ilex-type	TRSH	NULL
2633		Quercus ithaburensis-type	Quercus ithaburensis-type	TRSH	NULL
2634		Typha angustifolia-type	Sparganium-type	AQUA	NULL
2635		Erica: seed	Erica: seed	MACR	NULL
2636		Cerealia 40-50µm	Cerealia-type	HERB	NULL
2637		Cerealia >50µm	Cerealia-type	HERB	NULL
2638		Ericaceae-type	Ericales (tetrad)	DWAR	NULL
2639		Rumex acetosa/R. acetosella-type	Rumex acetosa-type	HERB	NULL
2640		Eucalyptus (grains/g of tablet)	Eucalyptus (grains/g of tablet)	NOPO	NULL
2641		Eucalyptus (spike)	Eucalyptus spike (counted)	NOPO	NULL
2642		Eucalyptus tablets	Eucalyptus tablets	NOPO	NULL
2643		Salix undiff.	Salix	TRSH	NULL
2644		Valeriana sambucifolia-type	Valeriana officinalis-type	HERB	NULL
2645		Potamogeton sect. Eupotamogeton	Potamogeton natans-type	AQUA	NULL
2646		Phegopteris connectilis	Phegopteris connectilis	VACR	NULL
2647		Geranium sylvaticum-type	Geranium pratense-type	HERB	NULL
2648		cf. Sorbus aucuparia	Rosaceae (non-operculate)	TRSH	NULL
2649		Rumex longifolius-type	Rumex aquaticus-type	HERB	NULL
2650		Dryopteris carthusiana-type	Dryopteris cristata-type	VACR	NULL
2651		Lycopodium undiff.	Lycopodium	VACR	NULL
2652		Nymphaeaceae: base cells	Nymphaeaceae: base cells	VEMI	NULL
2653		Nymphaeaceae: trichoblasts	Nymphaeaceae: trichoblasts	VEMI	NULL
2654		Rubus cf. R. saxatilis	Rubus	TRSH	NULL
2655		Ranunculus trichophyllus-type	Ranunculus aquatilis-type	AQUA	NULL
2656		Lathyrus/Vicia	Lathyrus/Vicia-type	HERB	NULL
2657		Charcoal <40µm	Charcoal <40µm	CHAR	NULL
2658		Charcoal >40µm	Charcoal >40µm	CHAR	NULL
2659		Populus tremula	Populus tremula-type	TRSH	NULL
2660		Capsella-type	Brassicaceae	HERB	NULL
2661		Hypericum pulchrum-type	Hypericum perforatum-type	HERB	NULL
2662		Armeria/Limonium	Plumbaginaceae	HERB	NULL
2663		Aconitum septentrionale	Aconitum	HERB	NULL
2664		Rubus fruticosus-type	Rubus	TRSH	NULL
2665		Artemisia undiff.	Artemisia	HERB	NULL
2666		Brassica-type	Brassicaceae	HERB	NULL
2667		Poaceae annulus >8µm	Cerealia-type	HERB	NULL
2668		Glyceria-type	Hordeum-type	HERB	NULL
2669		Lotus cf. L. corniculatus	Lotus-type	HERB	NULL
2670		Phragmites-type	Phragmites australis-type	HERB	NULL
2671		Poaceae annulus <8µm	Poaceae	HERB	NULL
2672		Salix herbacea-type	Salix	TRSH	NULL
2673		cf. Humulus lupulus	Humulus/Cannabis	HERB	NULL
2674		cf. Galeopsis	Indeterminable: unknown	INUN	NULL
2675		Betula (excl. B. nana)	Betula pubescens-type	TRSH	NULL
2676		Oleaceae undiff.	Oleaceae	TRSH	NULL
2677		Sambucus undiff.	Sambucus	TRSH	NULL
2678		Helleborus undiff.	Helleborus	HERB	NULL
2679		Filicopsida	Monolete fern spores	VACR	NULL
2680		Quercus faginea-type	Quercus robur-type	TRSH	NULL
2681		Vicia/Lathyrus-type	Lathyrus/Vicia-type	HERB	NULL
2682		Cladocera	Cladocera	MICR	NULL
2683		Arcella artocrea	Arcella artocrea	RHIZ	NULL
2684		Nebela collaris	Nebela collaris	RHIZ	NULL
2685		NPP undiff.	NPP undiff.	UNPP	NULL
2686		Clathrulina elegans	Clathrulina elegans	RHIZ	NULL
2687		Difflugia pyriformis	Difflugia pyriformis	RHIZ	NULL
2688		Plantago sp.	Plantago	HERB	NULL
2689		Sphagnales	Sphagnum	NOPO	NULL
2690		Rhamnus frangula	Frangula alnus	TRSH	NULL
2691		Crassula	Umbilicus-type	HERB	NULL
2692		Poaceae >40µm	Cerealia-type	HERB	NULL
2693		Charcoal >45µm	Charcoal >45µm	CHAR	NULL
2694		Deposition time (yr/cm)	Deposition time (yr/cm)	NOPO	NULL
2695		Abies pinsapo	Abies pinsapo	TRSH	NULL
2696		Pinus sylvestris/nigra/uncinata t.	Pinus sylvestris-type	TRSH	NULL
2697		Pinus pinea/halepensis t.	Pinus halepensis-type	TRSH	NULL
2698		Asteraceae(equinulada)	Asteraceae	HERB	NULL
2699		Rumex acetosella t.	Rumex acetosa-type	HERB	NULL
2700		Plantago coronopus t.	Plantago coronopus-type	HERB	NULL
2701		Daphne gnidium t.	Daphne	DWAR	NULL
2702		Asparagus t.	Asparagus	HERB	NULL
2703		Erica scoparia t.	Erica arborea-type	TRSH	NULL
2704		Filicales monoles undiff.	Monolete fern spores	VACR	NULL
2705		Juniperus t.	Juniperus-type	TRSH	NULL
2706		Leg.	Indeterminable: unknown	INUN	NULL
2707		Sordaria sp	Sordaria-type	FUNG	NULL
2708		Urtica dioica t.	Urtica dioica-type	HERB	NULL
2709		Monocot.	Indeterminable: unknown	INUN	NULL
2710		Jasminum t.	Jasminum	TRSH	NULL
2711		Asphodelus albus t.	Asphodelus albus-type	HERB	NULL
2712		Cistus t. undiff.	Cistus	TRSH	NULL
2713		Crataegus t.	Prunus-type	TRSH	NULL
2714		Genisteae	Genista-group	TRSH	NULL
2715		Abies marocana	Abies marocana	TRSH	NULL
2716		Centaurea cyanus t.	Centaurea cyanus-type	HERB	NULL
2717		Santalácea	Santalaceae	HERB	NULL
2718		Asteraceae (Liguliflorae)	Asteraceae subf. Cichorioideae	HERB	NULL
2719		Asteraceae (Tubuliflorae)	Asteraceae subf. Asteroideae	HERB	NULL
2720		Achillea type	Matricaria-type	HERB	NULL
2721		Centaurea jacea type	Centaurea nigra-type	HERB	NULL
2722		Geum type	Geum-type	HERB	NULL
2723		Mentha type	Mentha-type	HERB	NULL
2724		Fraxinus excelsior type	Fraxinus excelsior-type	TRSH	NULL
2725		Potentilla type	Potentilla-type	HERB	NULL
2726		Unidentified	Indeterminable: unknown	INUN	NULL
2727		Pteridophyta	Monolete fern spores	VACR	NULL
2728		Cirsium type	Asteraceae subf. Carduoideae	HERB	NULL
2729		Trifolium type	Trifolium-type	HERB	NULL
2730		Plantago major/Plantago media type	Plantago major/P. media-type	HERB	NULL
2731		Larix sibirica	Larix/Pseudotsuga	TRSH	NULL
2732		Picea abies subsp. obovata	Picea abies-type	TRSH	NULL
2733		Potamogeton/Sparganium	Potamogeton-type	AQUA	NULL
2734		Lycopodium appressum	Huperzia selago	VACR	NULL
2735		Lycopodium pungens	Lycopodium annotinum-type	VACR	NULL
2736		Pinus (Haploxylon)	Pinus cembra-type	TRSH	NULL
2737		Claytonia acutifolia	Claytonia	HERB	NULL
2738		Betula sect. Costatae	Betula	TRSH	NULL
2739		Betula sect. Nanae/Fruticosa	Betula nana-type	DWAR	NULL
2740		Osmundaceae	Osmunda-type	VACR	NULL
2741		Picea omorica	Picea omorika-type	TRSH	NULL
2742		Pinus (Diploxylon)	Pinus sylvestris-type	TRSH	NULL
2743		Selaginella sanguinolenta	Selaginella sanguinolenta	VACR	NULL
2744		Phellodendron	Phellodendron	TRSH	NULL
2745		Sparganiaceae	Sparganium-type	AQUA	NULL
2746		Polemonium acutiflorum	Polemonium	HERB	NULL
2747		Polygoum ellipticum	Polygonum-type (tricolporate)	HERB	NULL
2748		Rumex acetosa/Rumex acetosella	Rumex acetosa-type	HERB	NULL
2749		Herbs	Indeterminable: unknown	INUN	NULL
2750		Huperzia appressum	Huperzia selago	VACR	NULL
2751		Ulmus glabra	Ulmus/Zelkova	TRSH	NULL
2752		Ulmus laevis	Ulmus/Zelkova	TRSH	NULL
2753		Equisetaceae	Equisetum	VACR	NULL
2754		Sphagnaceae	Sphagnum	NOPO	NULL
2755		Calluna-type	Ericales (tetrad)	DWAR	NULL
2756		Comarum palustre	Potentilla palustris	HERB	NULL
2757		Typhaceae	Typha/Sparganium	AQUA	NULL
2758		Lycopodium tristachyum	Lycopodium clavatum-type	VACR	NULL
2759		Gymnocarpium/Dryopteris	Gymnocarpium dryopteris	VACR	NULL
2760		Alnaster	Alnus viridis	TRSH	NULL
2761		Spirea type	Aruncus/Spiraea	HERB	NULL
2762		Aster type	Aster-type	HERB	NULL
2763		Caryophillaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	NULL
2764		Ephedra distahia	Ephedra distachya-type	TRSH	NULL
2765		Gipsofilla	Gypsophila repens-type	HERB	NULL
2766		Hipericum type	Hypericum	HERB	NULL
2767		Saxifraga sp.	Saxifraga	HERB	NULL
2768		Umbellifera	Apiaceae	HERB	NULL
2769		Monolete	Monolete fern spores	VACR	NULL
2770		Sambucus sibirica	Sambucus sibirica	TRSH	NULL
2771		Fabaceaa	Fabaceae	HERB	NULL
2772		Sanguissorba offic.	Sanguisorba officinalis	HERB	NULL
2773		Parnassia type	Parnassia palustris	HERB	NULL
2774		Schulzia	Karnataka	UPHE	NULL
2775		Lycopodium clavat	Lycopodium clavatum	VACR	NULL
2776		Stipa	Poaceae	HERB	NULL
2777		Polygonum avicularia	Polygonum-type (tricolporate)	HERB	NULL
