samplename	var_	count
Bakker_b12	109	1
Bakker_b12	110	2
Bakker_b12	139	21
Bakker_b12	111	19
Bakker_b12	113	4
Bakker_b12	140	4
Bakker_b12	18	42
Bakker_b12	115	15
Bakker_b12	21	5
Bakker_b12	117	1
Bakker_b12	77	1
Bakker_b12	119	1
Bakker_b12	74	1
Bakker_b12	42	2
Bakker_b12	123	5
Bakker_b12	31	2
Bakker_b12	23	44
Bakker_b12	126	1
Bakker_b12	155	2
Bakker_b12	129	1
Bakker_b12	142	5
Bakker_b12	156	4
Bakker_b12	143	1
Bakker_b12	28	4
Bakker_b12	145	2
Bakker_b12	157	1
Bakker_b12	134	3
Bakker_b12	147	7
Bakker_b13	55	3
Bakker_b13	34	4
Bakker_b13	3	1
Bakker_b13	71	53
Bakker_b13	159	2
Bakker_b13	160	1
Bakker_b13	101	5
Bakker_b13	72	19
Bakker_b13	35	5
Bakker_b13	136	2
Bakker_b13	58	9
Bakker_b13	102	3
Bakker_b13	11	776
Bakker_b13	104	1
Bakker_b13	95	1
Bakker_b13	105	12
Bakker_b13	106	84
Bakker_b13	44	2
Bakker_b13	161	4
Bakker_b13	60	32
Bakker_b13	109	3
Bakker_b13	110	5
Bakker_b13	139	3
Bakker_b13	111	11
Bakker_b13	113	2
Bakker_b13	140	1
Bakker_b13	114	4
Bakker_b13	18	10
Bakker_b13	115	13
Bakker_b13	21	1
Bakker_b13	117	3
Bakker_b13	163	1
Bakker_b13	65	1
Bakker_b13	77	1
Bakker_b13	119	7
Bakker_b13	123	2
Bakker_b13	23	39
Bakker_b13	28	18
Bakker_b13	145	4
Bakker_b13	134	1
Bakker_b13	147	3
Bakker_b13	149	2
Bakker_b14	55	8
Bakker_b14	34	3
Bakker_b14	71	69
Bakker_b14	135	4
Bakker_b14	100	2
Bakker_b14	101	6
Bakker_b14	72	17
Bakker_b14	35	2
Bakker_b14	136	1
Bakker_b14	58	13
Bakker_b14	102	2
Bakker_b14	11	745
Bakker_b14	104	5
Bakker_b14	137	4
Bakker_b14	105	19
Bakker_b14	106	92
Bakker_b14	107	1
Bakker_b14	44	2
Bakker_b14	13	1
Bakker_b14	164	1
Bakker_b14	150	2
Bakker_b14	60	53
Bakker_b14	109	2
Bakker_b14	110	3
Bakker_b14	162	1
Bakker_b14	139	1
Bakker_b14	111	15
Bakker_b14	113	1
Bakker_b14	140	1
Bakker_b14	114	1
Bakker_b14	18	14
Bakker_b14	115	18
Bakker_b14	117	2
Bakker_b14	77	6
Bakker_b14	152	2
Bakker_b14	119	5
Bakker_b14	122	1
Bakker_b14	123	7
Bakker_b14	124	2
Bakker_b14	31	1
Bakker_b14	23	25
Bakker_b14	126	1
Bakker_b14	128	1
Bakker_b14	28	2
Bakker_b14	133	1
Bakker_b14	134	1
Bakker_b14	147	1
Bakker_b14	149	1
Bakker_b15	34	1
Bakker_b15	71	6
Bakker_b15	100	2
Bakker_b15	72	5
Bakker_b15	58	7
Bakker_b15	102	2
Bakker_b15	11	380
Bakker_b15	137	1
Bakker_b15	105	3
Bakker_b15	106	30
Bakker_b15	107	3
Bakker_b15	108	1
Bakker_b15	60	14
Bakker_b15	110	1
Bakker_b15	162	1
Bakker_b15	111	7
Bakker_b15	113	2
Bakker_b15	114	3
Bakker_b15	18	6
Bakker_b15	115	9
Bakker_b15	21	1
Bakker_b15	65	1
Bakker_b15	77	4
Bakker_b15	74	2
Bakker_b15	121	1
Bakker_b15	123	1
Bakker_b15	124	1
Bakker_b15	31	1
Bakker_b15	23	25
Bakker_b15	130	1
Bakker_b15	131	7
Bakker_b15	147	5
